t(s)     s (m) 
0.0000   0.0000    
0.5030   0.5702    
1.0050   2.1894    
1.5080   4.5847    
2.0100   7.6483    
2.5130   11.3234   
3.0150   15.5307   
3.5180   20.2440   
4.0200   25.4048   
4.5230   31.0038   
5.0250   36.9893   
5.5280   43.3616   
6.0300   50.0717   
6.5330   57.1263   
7.0350   64.4768   
7.5380   72.1348   
8.0400   80.0511   
8.5430   88.2406   
9.0450   96.6539   
9.5480   105.3084  
10.0500  114.1535  
10.5530  123.2094  
11.0550  132.4244  
11.5580  141.8209  
12.0600  151.3466  
12.5630  161.0256  
13.0650  170.8048  
13.5680  180.7100  
14.0700  190.6881  
14.5730  200.7655  
15.0750  210.8892  
15.5780  221.0867  
16.0800  231.3057  
16.5830  241.5747  
17.0850  251.8410  
17.5880  262.1343  
18.0900  272.4026  
18.5930  282.6762  
19.0950  292.9043  
19.5980  303.1176  
20.1010  313.2860  
20.6030  323.3813  
21.1060  333.4344  
21.6080  343.3975  
22.1110  353.3026  
22.6130  363.1033  
23.1160  372.8315  
23.6180  382.4425  
24.1210  391.9687  
24.6230  401.3671  
25.1260  410.6701  
25.6280  419.8367  
26.1310  428.8995  
26.6330  437.8191  
27.1360  446.6277  
27.6380  455.2884  
28.1410  463.8336  
28.6430  472.2282  
29.1460  480.5040  
29.6480  488.6279  
30.1510  496.6323  
30.6530  504.4858  
31.1560  512.2201  
31.6580  519.8065  
32.1610  527.2765  
32.6630  534.6028  
33.1660  541.8165  
33.6680  548.8922  
34.1710  555.8613  
34.6730  562.6994  
35.1760  569.4380  
35.6780  576.0545  
36.1810  582.5797  
36.6830  588.9926  
37.1860  595.3237  
37.6880  601.5533  
38.1910  607.7120  
38.6930  613.7810  
39.1960  619.7902  
39.6980  625.7223  
40.2010  631.6071  
40.7040  637.4393  
41.2060  643.2142  
41.7090  648.9615  
42.2110  654.6647  
42.7140  660.3541  
43.2160  666.0134  
43.7190  671.6720  
44.2210  677.3148  
44.7240  682.9707  
45.2260  688.6244  
45.7290  694.3052  
46.2310  699.9971  
46.7340  705.7294  
47.2360  711.4862  
47.7390  717.2963  
48.2410  723.1433  
48.7440  729.0568  
49.2460  735.0191  
49.7490  741.0597  
50.2510  747.1603  
50.7540  753.3507  
51.2560  759.6116  
51.7590  765.9726  
52.2610  772.4137  
52.7640  778.9647  
53.2660  785.6035  
53.7690  792.3609  
54.2710  799.2141  
54.7740  806.1932  
55.2760  813.2739  
55.7790  820.4872  
56.2810  827.8070  
56.7840  835.2651  
57.2860  842.8334  
57.7890  850.5444  
58.2910  858.3681  
58.7940  866.3373  
59.2960  874.4209  
59.7990  882.6515  
60.3020  891.0130  
60.8040  899.4890  
61.3070  908.1130  
61.8090  916.8493  
62.3120  925.7325  
62.8140  934.7256  
63.3170  943.8635  
63.8190  953.1080  
64.3220  962.4937  
64.8240  971.9811  
65.3270  981.6059  
65.8290  991.3266  
66.3320  1001.1794 
66.8340  1011.1220 
67.3370  1021.1910 
67.8390  1031.3422 
68.3420  1041.6127 
68.8440  1051.9580 
69.3470  1062.4152 
69.8490  1072.9387 
70.3520  1083.5662 
70.8540  1094.2511 
71.3570  1105.0316 
71.8590  1115.8598 
72.3620  1126.7745 
72.8640  1137.7278 
73.3670  1148.7584 
73.8690  1159.8179 
74.3720  1170.9452 
74.8740  1182.0912 
75.3770  1193.2958 
75.8790  1204.5093 
76.3820  1215.7720 
76.8840  1227.0340 
77.3870  1238.3356 
77.8890  1249.6269 
78.3920  1260.9488 
78.8940  1272.2517 
79.3970  1283.5758 
79.8990  1294.8719 
80.4020  1306.1808 
80.9050  1317.4757 
81.4070  1328.7305 
81.9100  1339.9857 
82.4120  1351.1931 
82.9150  1362.3940 
83.4170  1373.5402 
83.9200  1384.6728 
84.4220  1395.7447 
84.9250  1406.7969 
85.4270  1417.7826 
85.9300  1428.7431 
86.4320  1439.6327 
86.9350  1450.4924 
87.4370  1461.2769 
87.9400  1472.0277 
88.4420  1482.7001 
88.9450  1493.3353 
89.4470  1503.8901 
89.9500  1514.4051 
90.4520  1524.8380 
90.9550  1535.2296 
91.4570  1545.5381 
91.9600  1555.8046 
92.4620  1565.9881 
92.9650  1576.1296 
93.4670  1586.1889 
93.9700  1596.2065 
94.4720  1606.1435 
94.9750  1616.0405 
95.4770  1625.8590 
95.9800  1635.6393 
96.4820  1645.3437 
96.9850  1655.0130 
97.4870  1664.6101 
97.9900  1674.1750 
98.4920  1683.6717 
98.9950  1693.1402 
99.4970  1702.5453 
100.0000 1711.9264 
