t(s)     v (m\s) 
0.0000   0.0000    
0.5030   2.2670    
1.0050   4.0110    
1.5080   5.4640    
2.0100   6.7290    
2.5130   7.8610    
3.0150   8.8900    
3.5180   9.8370    
4.0200   10.7160   
4.5230   11.5360   
5.0250   12.3040   
5.5280   13.0250   
6.0300   13.7030   
6.5330   14.3400   
7.0350   14.9400   
7.5380   15.5030   
8.0400   16.0310   
8.5430   16.5260   
9.0450   16.9880   
9.5480   17.4180   
10.0500  17.8170   
10.5530  18.1850   
11.0550  18.5240   
11.5580  18.8330   
12.0600  19.1140   
12.5630  19.3660   
13.0650  19.5910   
13.5680  19.7890   
14.0700  19.9600   
14.5730  20.1050   
15.0750  20.2240   
15.5780  20.3190   
16.0800  20.3900   
16.5830  20.4370   
17.0850  20.4610   
17.5880  20.4630   
18.0900  20.4430   
18.5930  20.4030   
19.0950  20.3430   
19.5980  20.2630   
20.1010  20.1660   
20.6030  20.0510   
21.1060  19.9190   
21.6080  19.7720   
22.1110  19.6100   
22.6130  19.4340   
23.1160  19.2450   
23.6180  19.0440   
24.1210  18.8320   
24.6230  18.6100   
25.1260  18.3790   
25.6280  18.1400   
26.1310  17.8940   
26.6330  17.6410   
27.1360  17.3830   
27.6380  17.1210   
28.1410  16.8560   
28.6430  16.5880   
29.1460  16.3180   
29.6480  16.0480   
30.1510  15.7790   
30.6530  15.5100   
31.1560  15.2440   
31.6580  14.9810   
32.1610  14.7220   
32.6630  14.4670   
33.1660  14.2170   
33.6680  13.9740   
34.1710  13.7370   
34.6730  13.5080   
35.1760  13.2870   
35.6780  13.0750   
36.1810  12.8720   
36.6830  12.6790   
37.1860  12.4960   
37.6880  12.3250   
38.1910  12.1650   
38.6930  12.0160   
39.1960  11.8800   
39.6980  11.7560   
40.2010  11.6450   
40.7040  11.5470   
41.2060  11.4630   
41.7090  11.3910   
42.2110  11.3340   
42.7140  11.2900   
43.2160  11.2590   
43.7190  11.2430   
44.2210  11.2400   
44.7240  11.2510   
45.2260  11.2760   
45.7290  11.3140   
46.2310  11.3650   
46.7340  11.4300   
47.2360  11.5070   
47.7390  11.5970   
48.2410  11.7000   
48.7440  11.8150   
49.2460  11.9410   
49.7490  12.0790   
50.2510  12.2280   
50.7540  12.3880   
51.2560  12.5570   
51.7590  12.7370   
52.2610  12.9260   
52.7640  13.1230   
53.2660  13.3280   
53.7690  13.5420   
54.2710  13.7620   
54.7740  13.9890   
55.2760  14.2220   
55.7790  14.4600   
56.2810  14.7040   
56.7840  14.9510   
57.2860  15.2030   
57.7890  15.4570   
58.2910  15.7140   
58.7940  15.9730   
59.2960  16.2330   
59.7990  16.4930   
60.3020  16.7540   
60.8040  17.0150   
61.3070  17.2740   
61.8090  17.5320   
62.3120  17.7880   
62.8140  18.0410   
63.3170  18.2920   
63.8190  18.5380   
64.3220  18.7800   
64.8240  19.0180   
65.3270  19.2500   
65.8290  19.4770   
66.3320  19.6980   
66.8340  19.9130   
67.3370  20.1210   
67.8390  20.3210   
68.3420  20.5150   
68.8440  20.7000   
69.3470  20.8780   
69.8490  21.0470   
70.3520  21.2080   
70.8540  21.3600   
71.3570  21.5030   
71.8590  21.6360   
72.3620  21.7610   
72.8640  21.8760   
73.3670  21.9820   
73.8690  22.0780   
74.3720  22.1640   
74.8740  22.2410   
75.3770  22.3080   
75.8790  22.3660   
76.3820  22.4140   
76.8840  22.4530   
77.3870  22.4820   
77.8890  22.5020   
78.3920  22.5140   
78.8940  22.5160   
79.3970  22.5090   
79.8990  22.4940   
80.4020  22.4700   
80.9050  22.4390   
81.4070  22.3990   
81.9100  22.3520   
82.4120  22.2980   
82.9150  22.2370   
83.4170  22.1690   
83.9200  22.0950   
84.4220  22.0150   
84.9250  21.9290   
85.4270  21.8380   
85.9300  21.7420   
86.4320  21.6420   
86.9350  21.5370   
87.4370  21.4290   
87.9400  21.3170   
88.4420  21.2020   
88.9450  21.0850   
89.4470  20.9650   
89.9500  20.8440   
90.4520  20.7210   
90.9550  20.5970   
91.4570  20.4730   
91.9600  20.3480   
92.4620  20.2240   
92.9650  20.1000   
93.4670  19.9770   
93.9700  19.8550   
94.4720  19.7350   
94.9750  19.6170   
95.4770  19.5010   
95.9800  19.3870   
96.4820  19.2770   
96.9850  19.1700   
97.4870  19.0660   
97.9900  18.9660   
98.4920  18.8700   
98.9950  18.7790   
99.4970  18.6920   
100.0000 18.6090   
